Player,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Season
VB Chikkannaiah (GER),5,5,0,107,41,21.40,83,128.91,0,0,0,12,3,2023
VB Chikkannaiah (GER),7,7,1,158,81*,26.33,154,102.59,0,1,0,14,4,2021
V Zimonjic (SRB),9,9,1,128,34,16.00,131,97.70,0,0,0,12,3,2024
V Zimonjic (SRB),4,2,1,33,23*,33.00,26,126.92,0,0,0,2,1,2023
V Zimonjic (SRB),11,6,3,43,27*,14.33,33,130.30,0,0,2,8,0,2022
V Zimonjic (SRB),4,3,0,28,15,9.33,24,116.66,0,0,0,3,1,2021
V Zanko (CRT),1,1,0,4,4,4.00,16,25.00,0,0,0,0,0,2024
V Zanko (CRT),6,5,0,48,16,9.60,112,42.85,0,0,1,6,0,2023
V Viyaskanth (SL),1,1,1,13,13*,-,19,68.42,0,0,0,1,0,2023
V Vijh (LUX),5,5,0,113,38,22.60,98,115.30,0,0,0,8,5,2024
V Vijh (LUX),2,2,0,18,15,9.00,19,94.73,0,0,0,3,0,2023/24
V Vijh (LUX),4,4,0,78,43,19.50,83,93.97,0,0,0,4,3,2020
V Vijh (LUX),4,4,2,107,64*,53.50,119,89.91,0,1,0,13,1,2019
V Vijh (LUX),11,11,3,240,53*,30.00,184,130.43,0,1,1,15,10,2023
V Vijh (LUX),8,8,0,88,33,11.00,112,78.57,0,0,2,2,4,2022
V Vijh (LUX),8,8,1,145,31,20.71,135,107.40,0,0,0,11,2,2021
V Sukumaran (UAE),10,8,0,151,50,18.87,124,121.77,0,1,2,15,7,2024
V Sibanda (ZIM),1,1,0,28,28,28.00,23,121.73,0,0,0,5,0,2016
V Sibanda (ZIM),7,7,0,191,59,27.28,173,110.40,0,1,0,18,6,2015/16
V Sibanda (ZIM),2,2,0,62,49,31.00,61,101.63,0,0,0,3,1,2015
V Sibanda (ZIM),3,3,1,41,16,20.50,40,102.50,0,0,0,1,2,2013/14
V Sibanda (ZIM),4,4,0,86,32,21.50,96,89.58,0,0,1,9,1,2013
V Sibanda (ZIM),4,4,0,29,13,7.25,39,74.35,0,0,1,4,0,2012/13
V Sibanda (ZIM),2,2,0,22,15,11.00,30,73.33,0,0,0,2,1,2011
V Sibanda (ZIM),1,1,0,0,0,0.00,1,0.00,0,0,1,0,0,2009/10
V Sibanda (ZIM),2,2,0,52,29,26.00,40,130.00,0,0,0,10,0,2007/08
V Shetty (UAE),2,2,1,11,10,11.00,13,84.61,0,0,0,1,0,2013/14
V Shankar (IND),4,3,0,84,43,28.00,54,155.55,0,0,0,8,5,2018/19
V Shankar (IND),5,1,0,17,17,17.00,19,89.47,0,0,0,3,0,2017/18
V Sehwag (IND),3,3,0,54,29,18.00,48,112.50,0,0,0,6,1,2012/13
V Sehwag (IND),2,2,0,27,23,13.50,19,142.10,0,0,0,3,1,2011/12
V Sehwag (IND),2,2,0,90,64,45.00,50,180.00,0,1,0,10,4,2009/10
V Sehwag (IND),3,3,0,51,26,17.00,22,231.81,0,0,0,5,4,2008/09
V Sehwag (IND),8,7,0,138,68,19.71,103,133.98,0,1,1,14,5,2007/08
V Sehwag (IND),1,1,0,34,34,34.00,29,117.24,0,0,0,5,1,2006/07
V Saini (ROM),4,3,1,65,44*,32.50,40,162.50,0,0,0,1,4,2020/21
V Saini (ROM),7,7,1,141,64,23.50,113,124.77,0,1,1,11,4,2024
V Saini (ROM),10,10,2,297,91*,37.12,222,133.78,0,1,1,19,14,2023
V Saini (ROM),11,11,4,264,60*,37.71,220,120.00,0,2,1,26,3,2022
V Saini (ROM),8,5,2,37,16,12.33,29,127.58,0,0,0,4,0,2021
V Ravindran (HUN),4,4,0,126,57,31.50,94,134.04,0,1,0,16,3,2024
V Ravindran (HUN),5,4,0,108,36,27.00,80,135.0,0,0,0,15,3,2023
V Rathinasamy (CRT),4,4,0,25,13,6.25,53,47.16,0,0,1,2,1,2024
V Pulibanti (CRT),5,5,2,29,10,9.66,48,60.41,0,0,0,5,0,2024
V Pulibanti (CRT),2,2,0,0,0,0.00,5,0.0,0,0,2,0,0,2023
V Permaul (WI),1,-,-,-,-,-,-,-,-,-,-,-,-,2018
V Mbazo (BOT),5,5,0,18,7,3.60,35,51.42,0,0,1,1,0,2023/24
