match_id,flip,gender,Mat,Won,Lost,Tied,NR,W/L,Inns,HS,LS,AveRPW,AveRPO,Mat_team2,Won_team2,Lost_team2,Tied_team2,NR_team2,W/L_team2,Inns_team2,HS_team2,LS_team2,AveRPW_team2,AveRPO_team2
361660,0,1,4,3,1,0,0,3.0,4,141,0.0,21.66,6.59,5,3,2,0,0,1.5,5,171,0.0,23.36,7.37
361660,1,1,5,3,2,0,0,1.5,5,171,0.0,23.36,7.37,4,3,1,0,0,3.0,4,141,0.0,21.66,6.59
366622,0,1,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2,3,1,2,0,0,0.5,3,174,0.0,23.09,8.17
366622,1,1,3,1,2,0,0,0.5,3,174,0.0,23.09,8.17,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2
366708,0,1,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2,3,1,1,1,0,1.0,3,155,0.0,22.78,7.46
366708,1,1,3,1,1,1,0,1.0,3,155,0.0,22.78,7.46,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2
386494,0,1,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2,3,1,2,0,0,0.5,3,174,0.0,23.09,8.17
386494,1,1,3,1,2,0,0,0.5,3,174,0.0,23.09,8.17,5,3,1,1,0,3.0,5,191,0.0,27.96,8.2
386535,0,1,5,3,2,0,0,1.5,5,171,0.0,23.36,7.37,3,1,2,0,0,0.5,3,174,0.0,23.09,8.17
386535,1,1,3,1,2,0,0,0.5,3,174,0.0,23.09,8.17,5,3,2,0,0,1.5,5,171,0.0,23.36,7.37
387563,0,1,2,1,1,0,0,1.0,2,241,0.0,40.88,11.15,4,2,2,0,0,1.0,4,202,0.0,27.69,8.11
387563,1,1,4,2,2,0,0,1.0,4,202,0.0,27.69,8.11,2,1,1,0,0,1.0,2,241,0.0,40.88,11.15
387564,0,1,2,1,1,0,0,1.0,2,241,0.0,40.88,11.15,4,2,2,0,0,1.0,4,202,0.0,27.69,8.11
387564,1,1,4,2,2,0,0,1.0,4,202,0.0,27.69,8.11,2,1,1,0,0,1.0,2,241,0.0,40.88,11.15
392615,0,1,4,0,3,0,1,0.0,4,169,108.0,19.36,7.27,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55
392615,1,1,9,7,2,0,0,3.5,9,175,0.0,28.88,7.55,4,0,3,0,1,0.0,4,169,108.0,19.36,7.27
401076,0,1,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26,3,0,3,0,0,0.0,3,155,0.0,16.4,6.83
401076,1,1,3,0,3,0,0,0.0,3,155,0.0,16.4,6.83,7,4,3,0,0,1.3333333333333333,7,177,101.0,24.25,8.26
403385,0,1,10,6,4,0,0,1.5,10,192,120.0,22.14,7.63,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69
403385,1,1,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69,10,6,4,0,0,1.5,10,192,120.0,22.14,7.63
403386,0,1,10,6,4,0,0,1.5,10,192,120.0,22.14,7.63,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69
403386,1,1,7,4,3,0,0,1.3333333333333333,7,198,99.0,20.77,7.69,10,6,4,0,0,1.5,10,192,120.0,22.14,7.63
406197,0,1,5,4,0,1,0,4.0,5,214,127.0,27.89,9.04,3,0,3,0,0,0.0,3,141,0.0,16.27,5.96
406197,1,1,3,0,3,0,0,0.0,3,141,0.0,16.27,5.96,5,4,0,1,0,4.0,5,214,127.0,27.89,9.04
406198,0,1,5,4,0,1,0,4.0,5,214,127.0,27.89,9.04,3,0,3,0,0,0.0,3,141,0.0,16.27,5.96
406198,1,1,3,0,3,0,0,0.0,3,141,0.0,16.27,5.96,5,4,0,1,0,4.0,5,214,127.0,27.89,9.04
406207,0,1,5,4,0,1,0,4.0,5,214,127.0,27.89,9.04,5,3,2,0,0,1.5,5,161,0.0,19.91,7.24
406207,1,1,5,3,2,0,0,1.5,5,161,0.0,19.91,7.24,5,4,0,1,0,4.0,5,214,127.0,27.89,9.04
412677,0,1,7,3,4,0,0,0.75,7,169,105.0,16.38,6.83,2,0,1,0,1,0.0,2,68,68.0,7.45,4.06
412677,1,1,2,0,1,0,1,0.0,2,68,68.0,7.45,4.06,7,3,4,0,0,0.75,7,169,105.0,16.38,6.83
412682,0,1,7,4,3,0,0,1.3333333333333333,7,186,135.0,25.92,8.05,7,4,3,0,0,1.3333333333333333,7,172,129.0,21.34,7.21
412682,1,1,7,4,3,0,0,1.3333333333333333,7,172,129.0,21.34,7.21,7,4,3,0,0,1.3333333333333333,7,186,135.0,25.92,8.05
412683,0,1,9,6,3,0,0,2.0,9,197,144.0,22.37,8.2,10,4,6,0,0,0.6666666666666666,10,191,89.0,20.42,7.5
412683,1,1,10,4,6,0,0,0.6666666666666666,10,191,89.0,20.42,7.5,9,6,3,0,0,2.0,9,197,144.0,22.37,8.2
