Player,Season,Mat,Inns,Batting Runs,SR,Ave,Country,Cum batting Ave,Cum battings Runs Total,Cum Inns Total,Cum SR,player_id
A Mansale,2023/24,1,1.0,61.0,152.5,61.0,Vanuatu,29.31,502.0,27.0,119.5,a22b4f3f
A Mansale,2024,6,6.0,197.0,132.21,32.83,Vanuatu,29.95,699.0,33.0,121.09,a22b4f3f
A Martel,2022,2,1.0,23.0,191.66,23.0,Guernsey,23.0,23.0,1.0,191.66,65cd62a9
A Martel,2023,5,4.0,31.0,103.33,10.33,Guernsey,12.86,54.0,5.0,147.5,65cd62a9
A Martel,2024,11,5.0,39.0,108.33,9.75,Guernsey,11.31,93.0,10.0,134.44,65cd62a9
A Martin,2011/12,1,0.0,0.0,0.0,0.0,West Indies,0.0,0.0,0.0,0.0,3cacbb57
A McAuley,2020,1,1.0,43.0,81.13,43.0,Isle of Man,43.0,43.0,1.0,81.13,39e599c8
A McAuley,2021/22,4,4.0,119.0,107.2,39.66,Isle of Man,40.33,162.0,5.0,94.17,39e599c8
A McAuley,2022,4,4.0,61.0,82.43,15.25,Isle of Man,29.18,223.0,9.0,90.25,39e599c8
A McAuley,2022/23,6,5.0,89.0,89.89,17.8,Isle of Man,25.12,312.0,14.0,90.16,39e599c8
A McAuley,2023,3,3.0,61.0,92.42,20.33,Isle of Man,24.27,373.0,17.0,90.61,39e599c8
A McAuley,2024,5,5.0,22.0,73.33,4.4,Isle of Man,19.76,395.0,22.0,87.73,39e599c8
A Mehmood,2015/16,2,1.0,0.0,0.0,0.0,Hong Kong,0.0,0.0,1.0,0.0,7cefb2a2
A Mehmood,2023,1,0.0,0.0,0.0,0.0,Hong Kong,0.0,0.0,1.0,0.0,7cefb2a2
A Mehmood,2024,4,1.0,14.0,350.0,14.0,Hong Kong,7.0,14.0,2.0,116.67,7cefb2a2
A Mene-Ejegi,2022,11,9.0,106.0,160.6,13.25,Serbia,13.25,106.0,9.0,160.6,e4f13acd
A Mene-Ejegi,2023/24,1,1.0,1.0,33.33,1.0,Serbia,12.03,107.0,10.0,96.97,e4f13acd
A Mene-Ejegi,2024,1,0.0,0.0,0.0,0.0,Serbia,12.03,107.0,10.0,64.64,e4f13acd
A Mishra,2010,1,0.0,0.0,0.0,0.0,India,0.0,0.0,0.0,0.0,6b19d823
A Mishra,2013/14,6,0.0,0.0,0.0,0.0,India,0.0,0.0,0.0,0.0,6b19d823
A Mishra,2016,1,0.0,0.0,0.0,0.0,India,0.0,0.0,0.0,0.0,6b19d823
A Mishra,2016/17,2,1.0,0.0,0.0,0.0,India,0.0,0.0,1.0,0.0,6b19d823
A Modi,2022/23,7,6.0,48.0,61.53,9.6,Singapore,9.6,48.0,6.0,61.53,4edfc785
A Mongar,2023,2,1.0,4.0,66.66,4.0,Bhutan,4.0,4.0,1.0,66.66,940255af
A Morris,2019,6,4.0,5.0,29.41,2.5,Cayman Islands,2.5,5.0,4.0,29.41,04cf2e94
A Morris,2022,2,0.0,0.0,0.0,0.0,Cayman Islands,2.5,5.0,4.0,14.71,04cf2e94
A Morris,2023/24,4,3.0,0.0,0.0,0.0,Cayman Islands,1.43,5.0,7.0,9.8,04cf2e94
A Mundra,2024,4,4.0,153.0,164.51,51.0,Sweden,51.0,153.0,4.0,164.51,30ffaf85
A Mustafa,2021/22,1,0.0,0.0,0.0,0.0,Argentina,0.0,0.0,0.0,0.0,a4571ba9
A Mustafa,2022/23,1,0.0,0.0,0.0,0.0,Argentina,0.0,0.0,0.0,0.0,a4571ba9
A Mutreja,2022,6,6.0,153.0,127.5,25.5,Singapore,25.5,153.0,6.0,127.5,a2ec22d2
A Mutreja,2023,2,2.0,1.0,33.33,0.5,Singapore,19.25,154.0,8.0,80.41,a2ec22d2
A Mutreja,2024,5,3.0,12.0,80.0,4.0,Singapore,15.09,166.0,11.0,80.28,a2ec22d2
A Nanda,2019,3,1.0,5.0,100.0,5.0,Luxembourg,5.0,5.0,1.0,100.0,704e0160
A Nanda,2020,2,1.0,2.0,50.0,2.0,Luxembourg,3.5,7.0,2.0,75.0,704e0160
A Nanda,2021,3,1.0,21.0,110.52,21.0,Luxembourg,9.33,28.0,3.0,86.84,704e0160
A Nanda,2022,6,3.0,18.0,128.57,6.0,Luxembourg,7.67,46.0,6.0,97.27,704e0160
A Nanda,2023,10,5.0,4.0,30.76,1.0,Luxembourg,4.64,50.0,11.0,83.97,704e0160
A Nanda,2023/24,2,1.0,1.0,50.0,1.0,Luxembourg,4.33,51.0,12.0,78.31,704e0160
A Nanda,2024,5,2.0,8.0,61.53,8.0,Luxembourg,4.86,59.0,14.0,75.91,704e0160
A Nao,2017,2,2.0,7.0,175.0,3.5,Papua New Guinea,3.5,7.0,2.0,175.0,4d1ec7eb
A Nao,2021/22,1,1.0,0.0,0.0,0.0,Papua New Guinea,2.33,7.0,3.0,87.5,4d1ec7eb
A Nao,2023,7,2.0,18.0,90.0,9.0,Papua New Guinea,5.0,25.0,5.0,88.33,4d1ec7eb
A Nao,2023/24,4,1.0,30.0,300.0,30.0,Papua New Guinea,9.17,55.0,6.0,141.25,4d1ec7eb
A Nao,2024,4,4.0,21.0,65.62,5.25,Papua New Guinea,7.6,76.0,10.0,126.12,4d1ec7eb
A Nathwani,2019,5,1.0,1.0,100.0,1.0,Austria,1.0,1.0,1.0,100.0,f1c4f2ea
A Nathwani,2021,2,0.0,0.0,0.0,0.0,Austria,1.0,1.0,1.0,50.0,f1c4f2ea
A Nathwani,2022,13,4.0,10.0,62.5,10.0,Austria,8.2,11.0,5.0,54.17,f1c4f2ea
A Nathwani,2023,9,6.0,16.0,53.33,8.0,Austria,8.09,27.0,11.0,53.96,f1c4f2ea
A Natubhai Ahir,2019,3,3.0,64.0,108.47,21.33,Panama,21.33,64.0,3.0,108.47,9c91218d
A Natubhai Ahir,2021/22,5,5.0,21.0,46.66,4.2,Panama,10.62,85.0,8.0,77.57,9c91218d
A Natubhai Ahir,2022/23,4,4.0,85.0,141.66,21.25,Panama,14.17,170.0,12.0,98.93,9c91218d
A Natubhai Ahir,2023/24,4,4.0,39.0,84.78,9.75,Panama,13.06,209.0,16.0,95.39,9c91218d
A Ndlovu,2019,3,1.0,2.0,50.0,2.0,Zimbabwe,2.0,2.0,1.0,50.0,3abe1ef6
A Ndlovu,2022,3,2.0,23.0,82.14,11.5,Zimbabwe,8.33,25.0,3.0,66.07,3abe1ef6
A Ndlovu,2023/24,4,1.0,3.0,60.0,3.0,Zimbabwe,7.0,28.0,4.0,64.05,3abe1ef6
A Ndlovu,2024,2,1.0,5.0,125.0,5.0,Zimbabwe,6.6,33.0,5.0,79.29,3abe1ef6
A Nehra,2009/10,2,1.0,22.0,169.23,22.0,India,22.0,22.0,1.0,169.23,96fd40ae
A Nehra,2010,5,2.0,0.0,0.0,0.0,India,7.33,22.0,3.0,84.62,96fd40ae
A Nehra,2010/11,1,0.0,0.0,0.0,0.0,India,7.33,22.0,3.0,56.41,96fd40ae
A Nehra,2015/16,15,2.0,6.0,26.08,3.0,India,5.6,28.0,5.0,48.83,96fd40ae
A Nehra,2016/17,3,0.0,0.0,0.0,0.0,India,5.6,28.0,5.0,39.06,96fd40ae
A Nehra,2017/18,1,0.0,0.0,0.0,0.0,India,5.6,28.0,5.0,32.55,96fd40ae
A Neill,2018/19,1,0.0,0.0,0.0,0.0,Scotland,0.0,0.0,0.0,0.0,4957b300
A Neill,2019,3,0.0,0.0,0.0,0.0,Scotland,0.0,0.0,0.0,0.0,4957b300
A Neill,2019/20,1,0.0,0.0,0.0,0.0,Scotland,0.0,0.0,0.0,0.0,4957b300
A Nel,2005/06,1,1.0,0.0,0.0,0.0,South Africa,0.0,0.0,1.0,0.0,2503e881
A Nel,2007/08,1,0.0,0.0,0.0,0.0,South Africa,0.0,0.0,1.0,0.0,2503e881
A Nimaga,2024,3,3.0,11.0,84.61,5.5,Mali,5.5,11.0,3.0,84.61,bc304f82
A Nortje,2019/20,3,1.0,2.0,33.33,2.0,South Africa,2.0,2.0,1.0,33.33,acdc62f5
