Player,Mat,Inns,Dis,Ct,St,D/I,Season,Country,Country_right,player_id
RE van der Merwe,5,5.0,17.0,17.0,0.0,0.3953488372093023,2023/24,NED,South Africa,05c2ca46
RG Mukasa,4,4.0,2.0,2.0,0.0,0.5,2019,UGA,Uganda,011f6b42
RG Mukasa,2,2.0,2.0,2.0,0.0,0.3333333333333333,2019/20,UGA,Uganda,011f6b42
RG Mukasa,3,3.0,2.0,2.0,0.0,0.2222222222222222,2021,UGA,Uganda,011f6b42
RG Mukasa,4,4.0,3.0,3.0,0.0,0.23076923076923078,2022,UGA,Uganda,011f6b42
RG Mukasa,7,6.0,4.0,4.0,0.0,0.21052631578947367,2022/23,UGA,Uganda,011f6b42
RG Mukasa,20,20.0,16.0,16.0,0.0,0.41025641025641024,2023,UGA,Uganda,011f6b42
RG Mukasa,15,15.0,24.0,24.0,0.0,0.4444444444444444,2023/24,UGA,Uganda,011f6b42
RG Mukasa,3,3.0,26.0,26.0,0.0,0.45614035087719296,2024,UGA,Uganda,011f6b42
RG Sharma,18,18.0,3.0,3.0,0.0,0.16666666666666666,2015/16,IND,India,740742ef
RG Sharma,2,2.0,3.0,3.0,0.0,0.15,2016,IND,India,740742ef
