player_id,Player,Mat,SR,Overs,Wkts,Econ,D/I
c988daa1,I Takahashi,37,122.12,92.2,28.0,5.75,0.27
e1592949,KS Leverock,29,148.76,76.4,25.0,6.84,0.413
5af743d0,Sohail Khan,5,100.0,15.0,5.0,8.2,0.0
d4550956,Ibrahim Zadran,44,107.28,0.0,0.0,0.0,0.386
db51b9a0,Ali Raza,5,115.0,0.0,0.0,0.0,0.2
84826f48,NJ O'Brien,30,98.1,0.0,0.0,0.0,0.964
6d9238ac,Serdar Burak Emir,1,0.0,2.0,0.0,7.0,0.0
71093272,BM Pecic,7,94.18,0.0,0.0,0.0,1.285
8ac3d7ee,Haroon Mughal,15,124.16,3.0,1.0,10.33,0.133
530b20e3,JRMVB Sanjaya,8,111.11,28.5,9.0,8.67,0.125
88a5adcf,LM Gabriel,17,80.91,27.0,4.0,8.48,0.176
57b3c398,R Drake,14,84.84,31.5,8.0,9.48,0.357
1fed517a,Tenjin Rabgey,20,81.69,3.0,1.0,3.33,0.25
5574750c,JC Archer,26,154.05,95.4,33.0,7.56,0.153
e824e6ee,TWM Latham,26,108.86,0.0,0.0,0.0,0.76
c8ad0749,AK Perera,6,90.76,1.0,0.0,17.0,0.166
96013995,DJ Turkich,9,80.53,30.0,11.0,4.5,0.333
6b96bebf,C Zavoiu,21,67.77,8.5,6.0,9.16,0.285
24a93558,OE Taylor,6,60.0,21.3,17.0,7.95,0.166
48f25627,Amjad Mahboob,30,102.7,101.4,40.0,8.29,0.2
6727fb4d,A Otwani,17,102.02,0.0,0.0,0.0,0.312
5d1e7582,BKG Mendis,73,133.14,0.0,0.0,0.0,0.506
ca673cff,Sapan Mehta,5,90.24,1.0,0.0,9.0,0.0
25d7f1ac,MD Patel,34,124.43,0.0,0.0,0.0,0.97
a4e37e47,S Dube,33,134.93,45.3,11.0,9.53,0.437
41acc8bf,E Kahamker,4,103.84,4.0,0.0,11.5,0.0
30564b3e,Mazharul Islam,17,101.91,3.5,1.0,10.69,0.062
9d1d34bd,Taijul Islam,2,0.0,7.0,1.0,8.28,0.0
216697bf,Mabsar Abdulla,2,52.38,0.0,0.0,0.0,0.5
0605de92,HD Rutherford,8,143.8,0.0,0.0,0.0,0.125
342d8ade,CRD Fernando,18,92.59,63.0,18.0,7.36,0.166
da3b91fd,Imran Khan,12,33.33,13.0,2.0,6.38,0.181
39431db7,Anowarul Islam,4,75.0,3.0,0.0,8.33,0.75
b68b1633,P Vekaria,8,144.73,21.0,3.0,7.47,0.375
ac6be7ed,J Alegra,16,77.1,0.0,0.0,0.0,0.375
b9a3d8c6,Inzamam-ul-Haq,1,73.33,0.0,0.0,0.0,0.0
b9e07e44,R Abdulkareem,32,81.25,74.4,27.0,5.59,0.354
598f5484,Adil Butt,15,136.89,9.0,4.0,6.11,0.428
a0a32dd1,Imran Khan,10,104.91,13.0,2.0,6.38,0.181
f219df21,Sahil Chauhan,13,206.48,10.0,6.0,7.2,0.23
e4ad57ea,Ahmad Khalid Ahmadzai,6,94.73,18.1,7.0,7.7,0.333
25640e61,N Ndouteng,5,47.61,5.1,2.0,13.35,0.2
a2f46292,KK Ahmed,18,50.0,66.0,16.0,8.51,0.222
cb4a3840,Charanjeet Singh,3,88.88,5.0,1.0,7.0,0.0
89f64c19,LMP Simmons,68,120.8,7.1,6.0,10.04,0.522
296358c9,Raag Kapur,7,75.0,12.0,3.0,7.5,0.285
cd4d7695,Aarif Sheikh,41,108.81,16.0,4.0,8.25,0.243
96fd40ae,A Nehra,27,71.79,98.0,34.0,7.73,0.148
5338b9f5,Muhammad Muneeb,32,118.12,4.0,1.0,11.75,0.343
6709b2de,Musa Shaheen,21,70.62,3.2,3.0,6.3,0.38
f8035c2a,BDH Stevens,20,97.61,44.3,13.0,6.4,0.9
9868bc75,BMAJ Mendis,22,118.96,35.0,12.0,7.11,0.318
a2317d14,V Mbazo,34,86.15,0.0,0.0,0.0,0.878
8db7f47f,RJW Topley,34,85.0,115.0,33.0,8.27,0.176
8c483884,Kuldeep Singh,4,50.0,0.0,0.0,0.0,0.25
488b7e1b,SHT Kandamby,5,61.9,0.0,0.0,0.0,0.8
0f721006,JO Holder,63,129.21,222.1,66.0,8.57,0.45
1a156c88,DJM Short,23,118.88,19.0,3.0,7.94,0.363
caf1b14c,N Deonarine,8,103.77,9.0,0.0,9.66,0.25
909d9fac,Javed Maroofkhail,14,90.47,9.0,3.0,7.77,0.285
0226b73a,Imran Haider,11,50.0,31.0,7.0,8.06,0.09
e85bb4b3,Fanyan Mughal,24,108.56,76.3,22.0,7.59,0.25
e734d090,CN Ackermann,22,115.67,35.0,7.0,6.17,0.272
16084b50,LA Simango,21,73.73,47.3,18.0,6.77,0.142
4a461c24,LA Dawson,11,158.33,34.0,6.0,7.11,0.181
57022b64,BA Simango,4,0.0,3.0,1.0,7.0,0.25
aceb7654,JDF Vandersay,14,100.0,49.2,7.0,8.0,0.071
1e5708ac,Zahid Hussain,3,37.5,9.3,3.0,4.94,0.333
f88dc8de,RB Patel,10,50.0,21.0,7.0,7.9,0.333
99d63244,KM Jadhav,9,123.23,0.0,0.0,0.0,0.111
598f5484,Adil Butt,3,80.0,51.0,15.0,6.66,0.428
44116edc,Mustapha Suwareh,11,51.47,3.0,1.0,17.33,0.09
c4d19735,R Tari,38,106.75,2.1,0.0,8.3,0.447
27128c74,Md Shafiqul Haque,4,141.93,3.0,1.0,8.33,0.75
11f56b14,HV Mandhyan,21,92.85,77.4,25.0,7.15,0.3
3ac13a94,E Rukiriza,43,77.94,132.5,43.0,6.52,0.395
05cf8905,Shakerullah Safi,4,0.0,3.0,0.0,8.33,0.0
ad37baac,Tejwinder Singh,11,197.95,37.5,14.0,6.05,0.272
598f5484,Adil Butt,3,80.0,51.0,15.0,6.66,0.666
324e00a9,Danyal Raja,11,89.61,31.0,11.0,8.12,0.2
09a9d073,J Charles,57,131.25,0.0,0.0,0.0,0.403
45a43fe2,RD Gaikwad,23,143.53,0.0,0.0,0.0,0.5
9c91218d,A Natubhai Ahir,16,99.52,37.3,10.0,6.29,0.687
da21531c,Waqar Khan,7,113.79,1.0,0.0,9.0,0.25
321fcf79,S Singh,42,107.28,14.0,4.0,9.92,0.0
99663fa5,D Mongia,1,84.44,0.0,0.0,0.0,1.0
dcdb87f2,Bilal Khan,79,54.9,283.0,110.0,6.78,0.153
bd3cecc6,Zohaib Sarwar,14,98.92,24.1,7.0,8.19,0.142
5f25b104,Sheikh Rasik,6,134.42,20.0,7.0,6.35,0.833
d014d5ac,SE Rutherford,24,146.12,7.0,1.0,10.28,0.25
fcbdc2b0,Syed Rehmatullah,7,33.33,0.0,0.0,0.0,0.333
cde067e1,J Kariko,19,59.25,67.5,26.0,4.93,0.315
4d2b96b4,I Tchakou,22,74.45,6.2,4.0,10.42,0.272
dc9135c6,S Srikanth,1,166.66,0.0,0.0,0.0,1.0
62d3f506,SD Valjalo,5,77.77,15.0,4.0,8.4,0.0
d1b5efdf,NCK Liyanage,6,100.0,14.0,3.0,7.14,0.2
e03b66ec,Mohammad Asif,11,300.0,42.5,13.0,8.0,0.272
b3540b2a,C Pengkumta,24,52.98,62.4,19.0,6.89,0.083
