team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Bangladesh,Ireland,female,2018,2018/07/14,Sportpark Maarschalkerweerd,Utrecht,Ireland,field,Bangladesh,1147736
India,Malaysia,female,2018,2018/06/03,Kinrara Academy Oval,Kuala Lumpur,India,bat,India,1148048
Thailand,Pakistan,female,2018,2018/06/03,Kinrara Academy Oval,Kuala Lumpur,Thailand,bat,Pakistan,1148050
Pakistan,Bangladesh,female,2018,2018/06/04,Kinrara Academy Oval,Kuala Lumpur,Bangladesh,field,Bangladesh,1148051
India,Thailand,female,2018,2018/06/04,Royal Selangor Club,Kuala Lumpur,Thailand,field,India,1148052
Sri Lanka,Malaysia,female,2018,2018/06/04,Royal Selangor Club,Kuala Lumpur,Malaysia,field,Sri Lanka,1148053
Pakistan,Sri Lanka,female,2018,2018/06/06,Kinrara Academy Oval,Kuala Lumpur,Sri Lanka,field,Pakistan,1148054
Malaysia,Thailand,female,2018,2018/06/06,Royal Selangor Club,Kuala Lumpur,Malaysia,bat,Thailand,1148055
India,Bangladesh,female,2018,2018/06/06,Kinrara Academy Oval,Kuala Lumpur,India,bat,Bangladesh,1148056
Thailand,Bangladesh,female,2018,2018/06/07,Kinrara Academy Oval,Kuala Lumpur,Bangladesh,field,Bangladesh,1148057
Pakistan,Malaysia,female,2018,2018/06/07,Royal Selangor Club,Kuala Lumpur,Malaysia,field,Pakistan,1148058
Sri Lanka,India,female,2018,2018/06/07,Royal Selangor Club,Kuala Lumpur,Sri Lanka,bat,India,1148059
Pakistan,India,female,2018,2018/06/09,Kinrara Academy Oval,Kuala Lumpur,Pakistan,bat,India,1148060
Sri Lanka,Thailand,female,2018,2018/06/09,Royal Selangor Club,Kuala Lumpur,Thailand,field,Thailand,1148061
Bangladesh,Malaysia,female,2018,2018/06/09,Kinrara Academy Oval,Kuala Lumpur,Bangladesh,bat,Bangladesh,1148062
India,Bangladesh,female,2018,2018/06/10,Kinrara Academy Oval,Kuala Lumpur,Bangladesh,field,Bangladesh,1148063
Afghanistan,Ireland,male,2018,2018/08/20,"Bready Cricket Club, Magheramason",Bready,Ireland,field,Afghanistan,1150143
Afghanistan,Ireland,male,2018,2018/08/22,"Bready Cricket Club, Magheramason",Bready,Afghanistan,bat,Afghanistan,1150144
India,New Zealand,female,2018/19,2018/11/09,Providence Stadium,Guyana,India,bat,India,1150533
Australia,Pakistan,female,2018/19,2018/11/09,Providence Stadium,Guyana,Australia,bat,Australia,1150534
West Indies,Bangladesh,female,2018/19,2018/11/09,Providence Stadium,Guyana,Bangladesh,field,West Indies,1150535
Pakistan,India,female,2018/19,2018/11/11,Providence Stadium,Guyana,India,field,India,1150537
Ireland,Australia,female,2018/19,2018/11/11,Providence Stadium,Guyana,Ireland,bat,Australia,1150538
Bangladesh,England,female,2018/19,2018/11/12,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,England,field,England,1150539
Sri Lanka,South Africa,female,2018/19,2018/11/12,"Daren Sammy National Cricket Stadium, Gros Islet",St Lucia,South Africa,field,South Africa,1150540
Pakistan,Ireland,female,2018/19,2018/11/13,Providence Stadium,Guyana,Pakistan,bat,Pakistan,1150541
