team1,team2,gender,season,date,venue,city,toss_winner,toss_decision,winner,match_id
Ireland,Bahrain,male,2021/22,2022/02/19,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Ireland,bat,Ireland,1299573
Germany,Ireland,male,2021/22,2022/02/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Ireland,1299574
Bahrain,United Arab Emirates,male,2021/22,2022/02/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,bat,Bahrain,1299575
Canada,Nepal,male,2021/22,2022/02/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,bat,Nepal,1299576
Philippines,Oman,male,2021/22,2022/02/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Philippines,bat,Oman,1299577
Germany,Canada,male,2021/22,2022/02/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Canada,field,Canada,1299578
Bahrain,Philippines,male,2021/22,2022/02/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Bahrain,bat,Bahrain,1299579
United Arab Emirates,Nepal,male,2021/22,2022/02/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,United Arab Emirates,bat,United Arab Emirates,1299580
Ireland,Oman,male,2021/22,2022/02/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,field,Ireland,1299581
Bahrain,Canada,male,2021/22,2022/02/24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Bahrain,bat,Canada,1299582
Philippines,Germany,male,2021/22,2022/02/24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Germany,field,Germany,1299583
Oman,Nepal,male,2021/22,2022/02/24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Oman,bat,Nepal,1299584
Ireland,United Arab Emirates,male,2021/22,2022/02/24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,bat,United Arab Emirates,1299585
United Arab Emirates,Ireland,male,2021/22,2022/02/13,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,United Arab Emirates,1299592
Oman,Nepal,male,2021/22,2022/02/11,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,Nepal,1299593
Oman,Ireland,male,2021/22,2022/02/12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Ireland,field,Ireland,1299594
United Arab Emirates,Oman,male,2021/22,2022/02/14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,field,Oman,1299595
Ireland,Nepal,male,2021/22,2022/02/14,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,Ireland,1299596
United Arab Emirates,Nepal,male,2021/22,2022/02/12,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Nepal,field,United Arab Emirates,1299638
Bangladesh,Afghanistan,male,2021/22,2022/03/03,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Bangladesh,1299832
Bangladesh,Afghanistan,male,2021/22,2022/03/05,"Shere Bangla National Stadium, Mirpur",Dhaka,Bangladesh,bat,Afghanistan,1299833
South Africa,England,female,2022,2022/07/21,"County Ground, Chelmsford",Chelmsford,England,field,England,1301331
South Africa,England,female,2022,2022/07/23,"County Ground, New Road, Worcester",Worcester,England,field,England,1301332
England,South Africa,female,2022,2022/07/25,"County Ground, Derby",Derby,England,bat,England,1301333
India,England,female,2022,2022/09/10,"Riverside Ground, Chester-le-Street",Chester-le-Street,England,field,England,1301334
England,India,female,2022,2022/09/13,"County Ground, Derby",Derby,England,bat,India,1301335
India,England,female,2022,2022/09/15,"County Ground, Bristol",Bristol,England,field,England,1301336
Ireland,India,male,2022,2022/06/26,"The Village, Malahide, Dublin",Dublin,India,field,India,1303307
India,Ireland,male,2022,2022/06/28,"The Village, Malahide, Dublin",Dublin,India,bat,India,1303308
New Zealand,Ireland,male,2022,2022/07/18,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,New Zealand,1303312
New Zealand,Ireland,male,2022,2022/07/20,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,New Zealand,1303313
Ireland,New Zealand,male,2022,2022/07/22,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,bat,New Zealand,1303314
South Africa,Ireland,male,2022,2022/08/03,"County Ground, Bristol",Bristol,South Africa,bat,South Africa,1303315
South Africa,Ireland,male,2022,2022/08/05,"County Ground, Bristol",Bristol,Ireland,field,South Africa,1303316
Nepal,Papua New Guinea,male,2021/22,2022/03/28,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Nepal,1305498
Malaysia,Papua New Guinea,male,2021/22,2022/03/29,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,bat,Malaysia,1305499
Malaysia,Nepal,male,2021/22,2022/03/30,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,bat,Nepal,1305500
Nepal,Papua New Guinea,male,2021/22,2022/03/31,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Nepal,1305501
Malaysia,Papua New Guinea,male,2021/22,2022/04/01,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Papua New Guinea,1305502
Nepal,Malaysia,male,2021/22,2022/04/02,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Malaysia,field,Nepal,1305503
Nepal,Papua New Guinea,male,2021/22,2022/04/04,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Papua New Guinea,field,Nepal,1305504
Qatar,United Arab Emirates,female,2021/22,2022/03/20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Qatar,bat,United Arab Emirates,1306384
Saudi Arabia,Kuwait,female,2021/22,2022/03/20,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Kuwait,field,Kuwait,1306385
Qatar,Bahrain,female,2021/22,2022/03/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Qatar,bat,Qatar,1306386
Oman,Saudi Arabia,female,2021/22,2022/03/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Saudi Arabia,field,Oman,1306387
United Arab Emirates,Kuwait,female,2021/22,2022/03/21,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,United Arab Emirates,bat,United Arab Emirates,1306388
Bahrain,Saudi Arabia,female,2021/22,2022/03/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Saudi Arabia,field,Bahrain,1306389
Qatar,Kuwait,female,2021/22,2022/03/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Qatar,bat,Kuwait,1306390
United Arab Emirates,Oman,female,2021/22,2022/03/22,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,United Arab Emirates,bat,United Arab Emirates,1306391
Oman,Kuwait,female,2021/22,2022/03/24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Kuwait,field,Oman,1306392
Saudi Arabia,United Arab Emirates,female,2021/22,2022/03/24,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,United Arab Emirates,field,United Arab Emirates,1306393
Qatar,Saudi Arabia,female,2021/22,2022/03/25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Qatar,bat,Qatar,1306394
Kuwait,Bahrain,female,2021/22,2022/03/25,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,Kuwait,bat,Bahrain,1306395
Oman,Qatar,female,2021/22,2022/03/26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),Al Amarat,Oman,bat,Oman,1306396
United Arab Emirates,Bahrain,female,2021/22,2022/03/26,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 2),Al Amarat,United Arab Emirates,bat,United Arab Emirates,1306397
Afghanistan,Ireland,male,2022,2022/08/09,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Afghanistan,bat,Ireland,1307159
Afghanistan,Ireland,male,2022,2022/08/11,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Afghanistan,bat,Ireland,1307160
Afghanistan,Ireland,male,2022,2022/08/12,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,Afghanistan,1307161
Afghanistan,Ireland,male,2022,2022/08/15,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,Afghanistan,1307162
Afghanistan,Ireland,male,2022,2022/08/17,"Civil Service Cricket Club, Stormont, Belfast",Belfast,Ireland,field,Ireland,1307163
Sri Lanka,Australia,male,2022,2022/06/07,"R Premadasa Stadium, Colombo",Colombo,Australia,field,Australia,1307293
Sri Lanka,Australia,male,2022,2022/06/08,"R Premadasa Stadium, Colombo",Colombo,Australia,field,Australia,1307294
Australia,Sri Lanka,male,2022,2022/06/11,Pallekele International Cricket Stadium,Kandy,Australia,bat,Sri Lanka,1307295
New Zealand,Scotland,male,2022,2022/07/27,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,Scotland,field,New Zealand,1307477
New Zealand,Scotland,male,2022,2022/07/29,"Grange Cricket Club Ground, Raeburn Place, Edinburgh",Edinburgh,New Zealand,bat,New Zealand,1307478
Pakistan,Ireland,female,2022/23,2022/11/12,"Gaddafi Stadium, Lahore",Lahore,Pakistan,bat,Ireland,1308236
Ireland,Pakistan,female,2022/23,2022/11/14,"Gaddafi Stadium, Lahore",Lahore,Pakistan,field,Pakistan,1308237
Ireland,Pakistan,female,2022/23,2022/11/16,"Gaddafi Stadium, Lahore",Lahore,Ireland,bat,Ireland,1308238
Uganda,Namibia,male,2022,2022/04/08,"United Cricket Club Ground, Windhoek",Windhoek,Namibia,field,Namibia,1309701
Namibia,Uganda,male,2022,2022/04/09,"United Cricket Club Ground, Windhoek",Windhoek,Uganda,field,Uganda,1309702
Namibia,Uganda,male,2022,2022/04/10,"United Cricket Club Ground, Windhoek",Windhoek,Uganda,field,Namibia,1309703
Norway,Guernsey,male,2022,2022/04/29,"Desert Springs Cricket Ground, Almeria",Almeria,Norway,bat,Norway,1310161
Spain,Norway,male,2022,2022/04/30,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,bat,Spain,1310162
Norway,Guernsey,male,2022,2022/04/30,"Desert Springs Cricket Ground, Almeria",Almeria,Norway,bat,Guernsey,1310163
Guernsey,Spain,male,2022,2022/04/30,"Desert Springs Cricket Ground, Almeria",Almeria,Guernsey,bat,Spain,1310164
Spain,Guernsey,male,2022,2022/05/01,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,bat,Guernsey,1310165
Spain,Norway,male,2022,2022/05/01,"Desert Springs Cricket Ground, Almeria",Almeria,Spain,bat,Spain,1310166
Denmark,Finland,male,2022,2022/05/07,"Svanholm Park, Brondby",Brondby,Finland,field,Finland,1310167
Denmark,Finland,male,2022,2022/05/07,"Svanholm Park, Brondby",Brondby,Finland,field,Denmark,1310168
Denmark,Finland,male,2022,2022/05/08,"Svanholm Park, Brondby",Brondby,Denmark,bat,Denmark,1310169
Gibraltar,Malta,male,2022,2022/05/10,Marsa Sports Club,Marsa,Malta,field,Malta,1310170
Malta,Hungary,male,2022,2022/05/10,Marsa Sports Club,Marsa,Hungary,field,Malta,1310171
Gibraltar,Hungary,male,2022,2022/05/10,Marsa Sports Club,Marsa,Hungary,field,Hungary,1310172
Romania,Malta,male,2022,2022/05/11,Marsa Sports Club,Marsa,Malta,field,Malta,1310173
Czech Republic,Gibraltar,male,2022,2022/05/11,Marsa Sports Club,Marsa,Czech Republic,bat,Czech Republic,1310174
Hungary,Bulgaria,male,2022,2022/05/11,Marsa Sports Club,Marsa,Bulgaria,field,Hungary,1310175
Malta,Czech Republic,male,2022,2022/05/12,Marsa Sports Club,Marsa,Czech Republic,field,Malta,1310176
Czech Republic,Bulgaria,male,2022,2022/05/12,Marsa Sports Club,Marsa,Czech Republic,bat,Czech Republic,1310177
Romania,Hungary,male,2022,2022/05/12,Marsa Sports Club,Marsa,Romania,bat,Hungary,1310178
Gibraltar,Bulgaria,male,2022,2022/05/13,Marsa Sports Club,Marsa,Gibraltar,bat,Gibraltar,1310179
Romania,Czech Republic,male,2022,2022/05/13,Marsa Sports Club,Marsa,Romania,bat,Romania,1310180
Bulgaria,Romania,male,2022,2022/05/13,Marsa Sports Club,Marsa,Bulgaria,bat,Romania,1310181
Hungary,Czech Republic,male,2022,2022/05/14,Marsa Sports Club,Marsa,Hungary,bat,Czech Republic,1310182
Gibraltar,Romania,male,2022,2022/05/14,Marsa Sports Club,Marsa,Gibraltar,bat,Romania,1310183
Bulgaria,Malta,male,2022,2022/05/14,Marsa Sports Club,Marsa,Bulgaria,bat,Malta,1310184
Gibraltar,Bulgaria,male,2022,2022/05/15,Marsa Sports Club,Marsa,Gibraltar,bat,Bulgaria,1310185
Czech Republic,Hungary,male,2022,2022/05/15,Marsa Sports Club,Marsa,Hungary,field,Czech Republic,1310186
Romania,Malta,male,2022,2022/05/15,Marsa Sports Club,Marsa,Romania,bat,Romania,1310187
Jersey,Guernsey,male,2022,2022/05/20,"College Field, St Peter Port",St Peter Port,Guernsey,field,Jersey,1310188
Zimbabwe,Uganda,female,2022,2022/04/21,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,bat,Zimbabwe,1310887
Zimbabwe,Namibia,female,2022,2022/04/20,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,bat,Namibia,1310888
Namibia,Uganda,female,2022,2022/04/21,"Centre for Cricket Development Ground, Windhoek",Windhoek,Uganda,field,Namibia,1310889
Zimbabwe,Uganda,female,2022,2022/04/22,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,bat,Zimbabwe,1310890
Namibia,Zimbabwe,female,2022,2022/04/23,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,field,Zimbabwe,1310891
Namibia,Uganda,female,2022,2022/04/23,"Centre for Cricket Development Ground, Windhoek",Windhoek,Uganda,field,Namibia,1310892
Zimbabwe,Uganda,female,2022,2022/04/24,"Centre for Cricket Development Ground, Windhoek",Windhoek,Uganda,field,Zimbabwe,1310893
Zimbabwe,Namibia,female,2022,2022/04/24,"Centre for Cricket Development Ground, Windhoek",Windhoek,Namibia,field,Zimbabwe,1310894
Uganda,Namibia,female,2022,2022/04/25,"Centre for Cricket Development Ground, Windhoek",Windhoek,Namibia,field,Namibia,1310895
Namibia,Zimbabwe,female,2022,2022/04/26,"Centre for Cricket Development Ground, Windhoek",Windhoek,Zimbabwe,field,Zimbabwe,1310896
New Zealand,Netherlands,male,2022,2022/08/04,"Sportpark Westvliet, The Hague",The Hague,New Zealand,bat,New Zealand,1310901
Netherlands,New Zealand,male,2022,2022/08/05,"Sportpark Westvliet, The Hague",The Hague,Netherlands,bat,New Zealand,1310902
Zimbabwe,Namibia,male,2022,2022/05/17,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,bat,Zimbabwe,1310938
Zimbabwe,Namibia,male,2022,2022/05/19,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,bat,Namibia,1310939
Namibia,Zimbabwe,male,2022,2022/05/21,"Queens Sports Club, Bulawayo",Bulawayo,Namibia,bat,Zimbabwe,1310940
Zimbabwe,Namibia,male,2022,2022/05/22,"Queens Sports Club, Bulawayo",Bulawayo,Namibia,field,Namibia,1310941
Namibia,Zimbabwe,male,2022,2022/05/24,"Queens Sports Club, Bulawayo",Bulawayo,Zimbabwe,field,Namibia,1310942
Zimbabwe,Afghanistan,male,2022,2022/06/11,Harare Sports Club,Harare,Zimbabwe,bat,Afghanistan,1310946
Afghanistan,Zimbabwe,male,2022,2022/06/12,Harare Sports Club,Harare,Afghanistan,bat,Afghanistan,1310947
Afghanistan,Zimbabwe,male,2022,2022/06/14,Harare Sports Club,Harare,Afghanistan,bat,Afghanistan,1310948
Sri Lanka,Pakistan,female,2022,2022/05/24,"Southend Club Cricket Stadium, Karachi",Karachi,Sri Lanka,bat,Pakistan,1310981
Sri Lanka,Pakistan,female,2022,2022/05/26,"Southend Club Cricket Stadium, Karachi",Karachi,Sri Lanka,bat,Pakistan,1310982
Sri Lanka,Pakistan,female,2022,2022/05/28,"Southend Club Cricket Stadium, Karachi",Karachi,Sri Lanka,bat,Pakistan,1310983
Hong Kong,United Arab Emirates,female,2022,2022/04/27,"Malek Cricket Ground, Ajman",Ajman,Hong Kong,bat,United Arab Emirates,1311744
United Arab Emirates,Hong Kong,female,2022,2022/04/28,"Malek Cricket Ground, Ajman",Ajman,Hong Kong,field,United Arab Emirates,1311745
United Arab Emirates,Hong Kong,female,2022,2022/04/29,"Malek Cricket Ground, Ajman",Ajman,United Arab Emirates,bat,United Arab Emirates,1311746
Hong Kong,United Arab Emirates,female,2022,2022/04/30,"Malek Cricket Ground, Ajman",Ajman,Hong Kong,bat,United Arab Emirates,1311747
Uganda,Nepal,female,2022,2022/05/16,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,field,Uganda,1314897
Nepal,Uganda,female,2022,2022/05/17,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Uganda,field,Uganda,1314898
Nepal,Uganda,female,2022,2022/05/19,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,bat,Uganda,1314899
Nepal,Uganda,female,2022,2022/05/20,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Nepal,bat,Nepal,1314900
Nepal,Uganda,female,2022,2022/05/21,"Tribhuvan University International Cricket Ground, Kirtipur",Kirtipur,Uganda,field,Nepal,1314901
Ireland,South Africa,female,2022,2022/06/03,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,South Africa,field,Ireland,1316642
Ireland,South Africa,female,2022,2022/06/06,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,Ireland,bat,South Africa,1316643
Ireland,South Africa,female,2022,2022/06/08,"Pembroke Cricket Club, Sandymount, Dublin",Dublin,South Africa,field,South Africa,1316644
Serbia,Bulgaria,male,2022,2022/06/24,"National Sports Academy, Sofia",Sofia,Bulgaria,field,Bulgaria,1317136
Serbia,Bulgaria,male,2022,2022/06/25,"National Sports Academy, Sofia",Sofia,Serbia,bat,Bulgaria,1317137
Serbia,Bulgaria,male,2022,2022/06/25,"National Sports Academy, Sofia",Sofia,Serbia,bat,Bulgaria,1317138
Serbia,Bulgaria,male,2022,2022/06/26,"National Sports Academy, Sofia",Sofia,Bulgaria,field,Bulgaria,1317139
West Indies,Bangladesh,male,2022,2022/07/03,"Windsor Park, Roseau, Dominica",Roseau,West Indies,bat,West Indies,1317150
Bangladesh,West Indies,male,2022,2022/07/07,"Providence Stadium, Guyana",Providence,Bangladesh,bat,West Indies,1317151
West Indies,Australia,male,2022/23,2022/10/05,Carrara Oval,Carrara,Australia,field,Australia,1317482
Australia,West Indies,male,2022/23,2022/10/07,"Brisbane Cricket Ground, Woolloongabba, Brisbane",Brisbane,West Indies,field,Australia,1317483
England,Australia,male,2022/23,2022/10/09,Perth Stadium,Perth,Australia,field,England,1317486
England,Australia,male,2022/23,2022/10/12,"Manuka Oval, Canberra",Canberra,Australia,field,England,1317487
Ireland,Australia,female,2022,2022/07/17,"Bready Cricket Club, Magheramason, Bready",Bready,Australia,field,Australia,1317636
Pakistan,Ireland,female,2022,2022/07/19,"Bready Cricket Club, Magheramason, Bready",Bready,Pakistan,bat,Pakistan,1317637
Australia,Ireland,female,2022,2022/07/21,"Bready Cricket Club, Magheramason, Bready",Bready,Ireland,field,Australia,1317638
India,West Indies,male,2022,2022/07/29,"Brian Lara Stadium, Tarouba, Trinidad",Tarouba,West Indies,field,India,1317903
India,West Indies,male,2022,2022/08/01,"Warner Park, Basseterre, St Kitts",Basseterre,West Indies,field,West Indies,1317904
West Indies,India,male,2022,2022/08/02,"Warner Park, Basseterre, St Kitts",Basseterre,India,field,India,1317905
India,West Indies,male,2022,2022/08/06,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,West Indies,field,India,1317906
India,West Indies,male,2022,2022/08/07,"Central Broward Regional Park Stadium Turf Ground, Lauderhill",Lauderhill,India,bat,India,1317907
New Zealand,West Indies,male,2022,2022/08/10,"Sabina Park, Kingston, Jamaica",Kingston,West Indies,field,New Zealand,1317908
New Zealand,West Indies,male,2022,2022/08/12,"Sabina Park, Kingston, Jamaica",Kingston,New Zealand,bat,New Zealand,1317909
New Zealand,West Indies,male,2022,2022/08/14,"Sabina Park, Kingston, Jamaica",Kingston,New Zealand,bat,West Indies,1317910
Germany,Austria,male,2022,2022/06/09,Bayer Uerdingen Cricket Ground,Krefeld,Austria,field,Germany,1318357
Sweden,Germany,male,2022,2022/06/09,Bayer Uerdingen Cricket Ground,Krefeld,Germany,field,Germany,1318358
Austria,Germany,male,2022,2022/06/10,Bayer Uerdingen Cricket Ground,Krefeld,Austria,bat,Austria,1318359
Austria,Sweden,male,2022,2022/06/10,Bayer Uerdingen Cricket Ground,Krefeld,Sweden,field,Austria,1318360
Austria,Sweden,male,2022,2022/06/11,Bayer Uerdingen Cricket Ground,Krefeld,Sweden,field,Austria,1318361
Germany,Sweden,male,2022,2022/06/11,Bayer Uerdingen Cricket Ground,Krefeld,Germany,bat,Germany,1318362
